Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,086071,1879,03,35.1,12,Y
IDCJAC0005,086071,1879,04,31.1,05,Y
IDCJAC0005,086071,1879,05,20.3,22,Y
IDCJAC0005,086071,1879,06,15.4,07,Y
IDCJAC0005,086071,1879,07,16.1,30,Y
IDCJAC0005,086071,1879,08,22.9,31,Y
IDCJAC0005,086071,1879,09,22.7,11,Y
IDCJAC0005,086071,1879,10,26.9,23,Y
IDCJAC0005,086071,1879,11,28.6,29,Y
IDCJAC0005,086071,1879,12,36.7,18,Y
IDCJAC0005,086071,1880,01,41.3,20,Y
IDCJAC0005,086071,1880,02,35.7,03,Y
IDCJAC0005,086071,1880,03,32.7,16,Y
IDCJAC0005,086071,1880,04,26.1,19,Y
IDCJAC0005,086071,1880,05,20.1,01,Y
IDCJAC0005,086071,1880,06,16.9,02,Y
IDCJAC0005,086071,1880,07,17.6,27,Y
IDCJAC0005,086071,1880,08,20.5,16,Y
IDCJAC0005,086071,1880,09,25.1,08,Y
IDCJAC0005,086071,1880,10,23.2,30,Y
IDCJAC0005,086071,1880,11,33.3,18,Y
IDCJAC0005,086071,1880,12,39.9,30,Y
IDCJAC0005,086071,1881,01,37.7,26,Y
IDCJAC0005,086071,1881,02,37.3,21,Y
IDCJAC0005,086071,1881,03,36.7,22,Y
IDCJAC0005,086071,1881,04,33.3,07,Y
IDCJAC0005,086071,1881,05,23.5,08,Y
IDCJAC0005,086071,1881,06,18.3,01,Y
IDCJAC0005,086071,1881,07,17.7,21,Y
IDCJAC0005,086071,1881,08,23.7,16,Y
IDCJAC0005,086071,1881,09,25.5,16,Y
IDCJAC0005,086071,1881,10,29.3,30,Y
IDCJAC0005,086071,1881,11,33.3,13,Y
IDCJAC0005,086071,1881,12,36.1,05,Y
IDCJAC0005,086071,1882,01,43.6,19,Y
IDCJAC0005,086071,1882,02,40.6,26,Y
IDCJAC0005,086071,1882,03,38.9,10,Y
IDCJAC0005,086071,1882,04,29.5,10,Y
IDCJAC0005,086071,1882,05,20.5,04,Y
IDCJAC0005,086071,1882,06,16.7,10,Y
IDCJAC0005,086071,1882,07,17.7,07,Y
IDCJAC0005,086071,1882,08,22.8,24,Y
IDCJAC0005,086071,1882,09,26.1,23,Y
IDCJAC0005,086071,1882,10,30.0,16,Y
IDCJAC0005,086071,1882,11,35.9,09,Y
IDCJAC0005,086071,1882,12,35.7,28,Y
IDCJAC0005,086071,1883,01,40.5,15,Y
IDCJAC0005,086071,1883,02,37.7,16,Y
IDCJAC0005,086071,1883,03,36.7,18,Y
IDCJAC0005,086071,1883,04,29.3,02,Y
IDCJAC0005,086071,1883,05,25.8,05,Y
IDCJAC0005,086071,1883,06,18.4,16,Y
IDCJAC0005,086071,1883,07,16.7,01,Y
IDCJAC0005,086071,1883,08,19.5,26,Y
IDCJAC0005,086071,1883,09,24.5,11,Y
IDCJAC0005,086071,1883,10,30.1,20,Y
IDCJAC0005,086071,1883,11,33.9,23,Y
IDCJAC0005,086071,1883,12,37.3,29,Y
IDCJAC0005,086071,1884,01,36.5,19,Y
IDCJAC0005,086071,1884,02,38.1,13,Y
IDCJAC0005,086071,1884,03,36.1,25,Y
IDCJAC0005,086071,1884,04,31.2,02,Y
IDCJAC0005,086071,1884,05,25.0,09,Y
IDCJAC0005,086071,1884,06,20.1,02,Y
IDCJAC0005,086071,1884,07,18.3,09,Y
IDCJAC0005,086071,1884,08,22.7,30,Y
IDCJAC0005,086071,1884,09,26.1,09,Y
IDCJAC0005,086071,1884,10,30.0,25,Y
IDCJAC0005,086071,1884,11,33.8,20,Y
IDCJAC0005,086071,1884,12,31.8,31,Y
IDCJAC0005,086071,1885,01,36.9,12,Y
IDCJAC0005,086071,1885,02,38.7,05,Y
IDCJAC0005,086071,1885,03,35.1,18,Y
IDCJAC0005,086071,1885,04,28.7,04,Y
IDCJAC0005,086071,1885,05,23.9,02,Y
IDCJAC0005,086071,1885,06,16.7,01,Y
IDCJAC0005,086071,1885,07,16.2,24,Y
IDCJAC0005,086071,1885,08,25.0,20,Y
IDCJAC0005,086071,1885,09,23.9,04,Y
IDCJAC0005,086071,1885,10,35.6,30,Y
IDCJAC0005,086071,1885,11,32.5,25,Y
IDCJAC0005,086071,1885,12,35.1,08,Y
IDCJAC0005,086071,1886,01,37.7,05,Y
IDCJAC0005,086071,1886,02,40.1,19,Y
IDCJAC0005,086071,1886,03,36.7,04,Y
IDCJAC0005,086071,1886,04,32.3,03,Y
IDCJAC0005,086071,1886,05,24.7,08,Y
IDCJAC0005,086071,1886,06,17.3,07,Y
IDCJAC0005,086071,1886,07,18.3,19,Y
IDCJAC0005,086071,1886,08,20.1,09,Y
IDCJAC0005,086071,1886,09,26.1,30,Y
IDCJAC0005,086071,1886,10,24.1,28,Y
IDCJAC0005,086071,1886,11,35.2,24,Y
IDCJAC0005,086071,1886,12,36.0,26,Y
IDCJAC0005,086071,1887,01,40.5,10,Y
IDCJAC0005,086071,1887,02,37.5,09,Y
IDCJAC0005,086071,1887,03,33.9,06,Y
IDCJAC0005,086071,1887,04,32.5,02,Y
IDCJAC0005,086071,1887,05,18.9,01,Y
IDCJAC0005,086071,1887,06,18.3,01,Y
IDCJAC0005,086071,1887,07,15.5,25,Y
IDCJAC0005,086071,1887,08,22.3,25,Y
IDCJAC0005,086071,1887,09,22.8,18,Y
